ID;capital
anon_S4;198977.65588099998
anon_S6;489792.51151899993
anon_S8;860289.219537
anon_S9;1403717.60014
anon_S11;1096873.82394
anon_S13;824015.699505
anon_S15;1930774.0252049998
anon_S17;1220082.0894850001
anon_S20;115092.48696300002
anon_S23;1082272.209793
anon_S24;443635.306272
anon_S26;666138.9137520001
anon_S27;1771396.972093
anon_S30;1420551.372913
anon_S33;691951.12724
anon_S34;84162.170151
anon_S35;1686928.359965
anon_S37;1700366.332156
anon_S38;921884.470946
anon_S39;614787.658791
anon_S41;1612026.338999
anon_S42;1623226.684307
anon_S43;1202036.456647
anon_S44;1285139.451372
anon_S45;768502.282783
anon_S46;843858.9985239999
anon_S47;2092955.965282
anon_S48;1410146.155272
anon_S49;1296751.007125
anon_S50;3912857.5437209997
anon_S55;704045.499815
anon_S56;2095284.085151
anon_S57;2548364.648715
anon_S58;2590970.3739279998
anon_S59;1434600.587525
anon_S61;2250549.546414
anon_S62;419090.43343800004
anon_S63;0.0
anon_S65;1988544.598095
anon_S66;876138.2672120001
anon_S67;1901417.4924380002
anon_S70;1276595.430268
anon_S72;515295.95028900006
anon_S73;420368.67162800004
anon_S75;2232628.6520740003
anon_S77;889660.0539549999
anon_S78;2489994.222319
anon_S79;1647239.979022
anon_S81;460421.05932299996
anon_S84;2074592.873957
anon_S85;817375.5527649999
anon_S86;535174.220467
anon_S87;643028.013351
anon_S88;1793495.099423
anon_S90;572052.8415859999
anon_S91;243087.73909299998
anon_S92;1121954.95601
anon_S94;1576326.1720440001
anon_S97;2665433.445587
anon_S98;962421.6257620001
anon_S99;2344844.770881
anon_S100;1505256.320535
anon_S103;1366943.2691620002
anon_S106;1836037.885502
anon_S107;0.0
anon_S108;832867.6064609999
anon_S109;0.0
anon_S110;1915708.8954560002
anon_S111;2102256.7355259997
anon_S112;672581.6458920001
anon_S113;624003.781798
anon_S114;688351.7852520001
anon_S116;1929619.968744
anon_S117;1393341.974098
anon_S120;2477064.964341
anon_S121;1856990.294831
anon_S122;1095338.281554
anon_S123;2633524.194518
anon_S124;1271769.910319
anon_S126;1821123.078248
anon_S127;2065558.3898240002
anon_S128;1826477.2428849998
anon_S130;1643414.424921
anon_S132;1111636.323778
anon_S134;1830819.558771
anon_S136;2240848.45255
anon_S137;948180.9704790001
anon_S139;913715.911582
anon_S140;1144432.9838440001
anon_S141;2534599.8150919997
anon_S142;695751.646969
anon_S143;3215637.985566
anon_S144;1346190.856718
anon_S145;0.0
anon_S146;2529914.087113
anon_S148;3017419.0212669997
anon_S149;373783.440034
anon_S150;482196.61627600004
anon_S152;1903873.5639
anon_S156;1717811.071594
anon_S163;612399.181051
anon_S166;394774.142676
anon_S167;36587.267703
anon_S169;860998.7210510001
anon_S170;1024241.755401
anon_S171;833898.28594
anon_S172;877848.903889
anon_S173;2258229.8313349998
anon_S176;1176571.015382
anon_S177;1368458.422522
anon_S178;440982.010524
anon_S179;1250563.74354
anon_S182;607696.479242
anon_S183;1934876.323797
anon_S184;748859.557298
anon_S186;2248749.4919669996
anon_S189;14751.595211000002
anon_S190;1538110.7567969998
anon_S191;662507.180125
anon_S192;1937660.4933650002
anon_S193;1332379.869937
anon_S195;1745408.714936
anon_S198;189144.745158
anon_S201;374194.991445
anon_S202;751897.777716
anon_S203;1156829.742204
anon_S205;375431.24221999996
anon_S206;607166.050458
anon_S211;641439.286621
anon_S212;1206853.685452
anon_S213;1122075.279331
anon_S216;333790.12497199996
anon_S217;556378.128237
anon_S219;186336.645149
anon_S222;1842887.838021
anon_S223;2449963.759074
anon_S224;762057.243702
anon_S225;1284268.88521
anon_S227;311770.697375
anon_S228;2348516.181691
anon_S230;1122130.632745
anon_S231;907639.302116
anon_S232;1547031.73874
anon_S233;1788618.9199970001
anon_S234;1352866.604356
anon_S235;0.0
anon_S236;1380101.457092
anon_S237;1782375.8380580002
anon_S238;1593717.201123
anon_S240;1157927.014855
anon_S241;1377409.539958
anon_S242;1923746.5372900001
anon_S243;1315667.898443
anon_S245;1936099.921684
anon_S248;658386.235742
anon_S251;12253.841795
anon_S252;713614.301259
anon_S253;780115.3963479999
anon_S254;1456786.04385
anon_S255;708918.024864
anon_S256;602017.610825
anon_S257;364889.41018
anon_S258;1199129.151542
anon_S259;1316450.864704
anon_S265;88304.728157
anon_S267;1651293.665775
anon_S270;297864.000927
anon_S271;61963.635927999996
anon_S273;1709239.2012190002
anon_S274;427926.113359
anon_S275;48087.662352
anon_S276;767229.864025
anon_S278;516984.351636
anon_S280;108213.77786700001
anon_S281;1488702.083687
anon_S283;699882.517259
anon_S284;1117537.216404
anon_S285;731007.988895
anon_S286;498223.076978
anon_S287;1045485.0938549999
anon_S288;509730.97159399994
anon_S289;522724.59516
anon_S291;470819.730748
anon_S294;306416.059594
anon_S298;769218.771142
anon_S300;555083.230131
anon_S301;739158.0233989999
anon_S302;821014.408633
anon_S304;315827.13655500003
anon_S305;1846212.989088
anon_S306;616911.5920109999
anon_S308;253621.415531
anon_S310;724876.9491859999
anon_S311;555706.736492
anon_S312;1858643.3778279999
anon_S315;259419.853079
anon_S319;150294.09298299998
anon_S322;1108490.485163
anon_S323;1130187.725289
anon_S324;461454.827355
anon_S326;532832.8008109999
anon_S327;911457.31166
anon_S333;1299991.383112
anon_S334;2315403.9977470003
anon_S337;423540.754986
anon_S338;1500075.6343709999
anon_S339;626624.3193869999
anon_S341;146801.530287
anon_S342;400277.909907
anon_S343;1483785.2613290001
anon_S344;540846.544394
anon_S347;684281.540685
anon_S349;1977997.934801
anon_S350;1229987.808768
anon_S351;765265.247981
anon_S353;902763.1527979999
anon_S356;1919746.5101060001
anon_S357;921068.592905
anon_S361;266691.781806
anon_S362;238355.775394
anon_S363;505235.71479700005
anon_S365;929017.537039
anon_S366;601375.6339189999
anon_S367;298525.553221
anon_S371;1898756.711928
anon_S372;738826.4572020001
anon_S373;742025.217978
anon_S375;923414.510369
anon_S376;337462.914125
anon_S377;858705.319535
anon_S378;1832942.1233490002
anon_S379;703579.534476
anon_S380;1074829.586506
anon_S381;54571.049054999996
anon_S382;1118819.519334
anon_S385;1360698.4494389999
anon_S387;807081.4033649999
anon_S388;801342.505588
anon_S390;614193.785109
anon_S391;1460251.404358
anon_S392;961152.140876
anon_S394;295430.585563
anon_S396;375305.626504
anon_S397;679247.50625
anon_S399;1304821.1238129998
anon_S400;2642230.70578
anon_S402;451513.25139700004
anon_S403;738365.472051
anon_S405;670198.534225
anon_S407;268747.744169
anon_S408;496236.65503500006
anon_S410;496460.69904399995
anon_S411;1870395.616352
anon_S416;1010767.276675
anon_S417;679638.009568
anon_S418;1388360.460308
anon_S421;678230.972972
anon_S426;77771.967602
anon_S427;669502.7396399999
anon_S430;319050.307033
anon_S433;38463.639485
anon_S434;2209826.188159
anon_S435;829224.995217
anon_S436;425264.272836
anon_S437;392456.537442
anon_S438;980847.813941
anon_S440;1902616.906868
anon_S443;945599.0689969999
anon_S444;1638070.696647
anon_S445;799972.174592
anon_S446;955119.496641
anon_S447;1867067.9061689998
anon_S448;1082610.728282
anon_S451;670333.761737
anon_S452;664148.817643
anon_S454;1387432.425632
anon_S455;1396407.077296
anon_S456;925927.6055610001
anon_S458;1603625.417145
anon_S460;1978833.4418459998
anon_S461;2143759.164165
anon_S463;834729.329566
anon_S464;2587496.357758
anon_S467;2156680.018782
anon_S468;1268537.641603
anon_S469;1286132.533231
anon_S470;150420.448832
anon_S471;884149.321311
anon_S472;1530088.1781879999
anon_S473;508805.02626400004
anon_S474;1941169.852732
anon_S475;348134.640545
anon_S476;2140126.457746
anon_S478;1472697.110878
anon_S479;759031.2939149999
anon_S480;56202.593335000005
anon_S482;1791277.627261
anon_S485;1314314.6863829999
anon_S486;943201.700925
anon_S487;525691.8575060001
anon_S489;1760823.786571
anon_S490;2587201.643423
anon_S495;292070.110984
anon_S497;1041263.2196
anon_S498;716890.55588
anon_S499;298584.051086
anon_S500;424437.02094099997
anon_S501;886424.043033
anon_S504;1195123.523095
anon_S506;393342.289064
anon_S507;942047.3405370001
anon_S508;412621.585916
anon_S509;480419.327062
anon_S510;1773973.724106
anon_S511;1517561.867904
anon_S515;380462.37786300003
anon_S517;393345.969596
anon_S518;1561750.482311
anon_S521;1479391.8809790001
anon_S524;1159091.358643
anon_S526;1243068.360943
anon_S527;82447.652418
anon_S528;1371085.852041
anon_S529;735840.187617
anon_S530;357399.261548
anon_S534;819153.809628
anon_S535;959681.9265200001
anon_S536;631543.656317
anon_S537;1263242.0825190002
anon_S538;500243.401982
anon_S539;776815.585297
anon_S540;701281.854065
anon_S541;2272160.8905700003
anon_S542;2283469.816062
anon_S544;1818040.5384689998
anon_S545;277017.527617
anon_S547;779339.722804
anon_S548;0.0
anon_S549;393382.361216
anon_S550;1573770.565895
anon_S551;1980774.7247889999
anon_S552;508482.64026499994
anon_S553;1702489.473211
anon_S555;350107.5359
anon_S556;817807.086416
anon_S557;444252.05313599994
anon_S558;1871877.339425
anon_S559;1340782.0979850001
anon_S561;39749.193094
anon_S562;250431.42583400002
anon_S563;529460.5135
anon_S564;719777.6036949999
anon_S566;905909.147782
anon_S568;777054.385948
anon_S570;466006.41933100007
anon_S573;92705.00024299999
anon_S574;523019.647053
anon_S575;2189233.39782
anon_S576;1713973.318522
anon_S577;0.0
anon_S579;508253.980695
anon_S580;220193.863418
anon_S581;666985.221697
anon_S582;42365.871237
anon_S585;236869.906709
anon_S586;475839.443664
anon_S587;391117.931069
anon_S588;437312.4274229999
anon_S589;1840877.2564959999
anon_S591;544315.1132939999
anon_S592;682000.248231
anon_S593;365947.905594
anon_S594;826287.185396
anon_S595;612740.049045
anon_S597;885599.7632190001
anon_S598;1288999.68384
anon_S601;1184832.581355
anon_S602;449983.43043999997
anon_S605;2109298.496998
anon_S606;46088.452256
anon_S607;1804797.533008
anon_S609;1299680.360924
anon_S610;325498.886863
anon_S611;1931665.103725
anon_S612;1775591.433612
anon_S614;1037397.580853
anon_S615;585284.429519
anon_S618;1841611.5210479998
anon_S619;645559.016755
anon_S620;227576.29700700002
anon_S621;0.0
anon_S622;833780.910793
anon_S623;227420.445873
anon_S625;1313514.30069
anon_S627;440866.32035299996
